"Google Universal Analytics","Google Universal Analytics"
"General","General"
"Enable","Enable"
"Web Property ID","Web Property ID"
"Use Alternative Asynchronous Snippet","Use Alternative Asynchronous Snippet"
"Anonymize IP","Anonymize IP"
"Force SSL","Force SSL"
"Debugging","Debugging"
"Debug","Debug"
"Trace","Trace"
"Create Only Fields","Create Only Fields"
"Customize","Customize"
"Value","Value"
"Default: 100","Default: 100"
"Default: 1","Default: 1"
"Default: No","Default: No"
"Default: Yes","Default: Yes"
"Default: _ga","Default: _ga"
"Default: leave empty","Default: leave empty"
"Default: 63072000 (two years)","Default: 63072000 (two years)"
"User","User"
"User ID","User ID"
"Ecommerce","Ecommerce"
"Enable Order Item Category","Enable Order Item Category"
"Add closest category for order item.","Add closest category for order item."
"Enable Onepage Checkout must be set to ""yes"": Sales > Checkout > Checkout Options.","Enable Onepage Checkout must be set to ""yes"": Sales > Checkout > Checkout Options."
"Register step label","Register step label"
"Billing step label","Billing step label"
"Shipping step label","Shipping step label"
"Shipping method step label","Shipping method step label"
"Payment step label","Payment step label"
"Review step label","Review step label"
"Save order step label","Save order step label"
"Steps","Steps"