"Image","Image"
"Extensions allowed: jpg, jpeg, gif and png","Extensions autorisées: jpg, jpeg, gif and png"
"Shop Group","Enseignes"
"General","Général"
"Save","Sauvegarder"
"Delete","Supprimer"
"New Shop Group","Nouvelle Enseigne"
"Save and Continue Edit","Sauvegarder et continuer à éditer"
"ID","ID"
"Name","Nom"
"Action","Action"
"Edit","Editer"
"Are you sure?","Êtes-vous sûr?"
"New Shop","Nouveau Boutique"
"Title","Titre"
"Postcode","Code postal"
"City","Ville"
"Country","Pays"
"State","Activé"
"Manage Shop Group","Gérer les enseignes"
"Create New Shop Group","Ajouter une enseigne"
"Manage Shops","Gérer les boutiques"
"Create New Shop","Ajouter un boutique"
"Manage Group","Gérer les enseignes"
"Shops","Boutiques"
"Please select a shop","Veuillez sélectionner une boutique"
"The shop has been deleted.","La boutique a été supprimée."
"The shop has been saved.","La boutique a été sauvegardée."
"An error occurred while saving the shop.","Erreur lors de la sauvegarde de la boutique."
"Please select shop(s).","Veuillez sélectionner une ou plusieurs boutiques"
"The group has been deleted","Le groupe a été supprimé"
"The group has been saved","Le groupe a été sauvegardé"
"An error occurred while saving the group.","Erreur lors de la sauvegarde du groupe."
"Please select shops group.","Veuillez sélectionner un groupe de boutiques"
"Image name with extension","Nom de l'image avec son extension"
"Shop's schedules","Horaires des boutiques"
"Day","Jour"
"Start hour AM","Heure d'ouverture de l'après-midi"
"End hour AM","Heure de fermeture de l'après-midi"
"Start hour PM","Heure d'ouverture du matin"
"End hour PM","Heure de fermeture du matin"
"Position","Position"
"Failed","Echec"
"Schedules is required","La plage horaire est requises"
"Updated active at","Activé le "
"Yes","Oui"
"No","Non"
"Address","Adresse"
"Additional address","Complément d'adresse"
"All Shops","Toutes les boutiques"
"Find the shop nearest you by clicking on the interactive map or the full list of shops","Retrouver la boutique la plus proche de chez vous en un clic sur la carte interactive ou dans la liste intégrale des boutiques"
"Shop List by Department","Liste des boutiques par département"
"New shop","Nouvelle boutique"
"Shop's informations","Informations boutique"
"Coordinates","Coordonnées"
"Opening hours","Horaires d'ouverture"
"Special opening hours","Horaires d'ouverture exceptionnelle"
"all the shops","toutes les boutiques"
"Postcodes","Codes postaux"
"Schedules","Horaires"
"Specials Schedules","Ouvertures exceptionnelles"
"Marker","Marqueur"